Instrument,Implied Volatility,Strike Price,Expiry Date,BID,ASK,CF_LAST,PUTCALLIND
NVDAB202619000.U,40.4573,190.0,2026-02-20,1.55,1.58,1.55,CALL
NVDAB202618000.U,43.4314,180.0,2026-02-20,4.55,4.6,4.55,CALL
NVDAN202618000.U,43.2729,180.0,2026-02-20,8.6,8.7,8.49,PUT 
NVDAB202618500.U,41.8484,185.0,2026-02-20,2.73,2.76,2.75,CALL
NVDAC202620000.U,45.9441,200.0,2026-03-20,3.75,3.85,3.8,CALL
NVDAN202619000.U,40.0605,190.0,2026-02-20,15.6,15.75,15.62,PUT 
NVDAN202618500.U,41.6623,185.0,2026-02-20,11.85,11.9,11.6,PUT 
NVDAN202617500.U,45.345,175.0,2026-02-20,6.1,6.2,6.15,PUT 
NVDAB202620000.U,39.1676,200.0,2026-02-20,0.47,0.48,0.48,CALL
NVDAC202619000.U,46.8102,190.0,2026-03-20,6.35,6.45,6.5,CALL
NVDAB202619500.U,39.5797,195.0,2026-02-20,0.84,0.86,0.85,CALL
NVDAN202617000.U,47.5911,170.0,2026-02-20,4.25,4.3,4.27,PUT 
NVDAB202617500.U,45.7049,175.0,2026-02-20,7.05,7.1,7.05,CALL
NVDAC202621000.U,45.6632,210.0,2026-03-20,2.19,2.21,2.22,CALL
NVDAC202619500.U,46.19,195.0,2026-03-20,4.9,5.0,4.99,CALL
NVDAB202617000.U,48.0027,170.0,2026-02-20,10.1,10.2,10.21,CALL
NVDAC202616000.U,52.4272,160.0,2026-03-20,21.95,22.05,22.15,CALL
NVDAB202618250.U,42.2808,182.5,2026-02-20,3.55,3.65,3.6,CALL
NVDAB202618750.U,40.6724,187.5,2026-02-20,2.08,2.1,2.11,CALL
NVDAO202616000.U,51.6395,160.0,2026-03-20,5.55,5.6,5.51,PUT 
NVDAN202617750.U,43.8512,177.5,2026-02-20,7.25,7.35,7.2,PUT 
NVDAB202621000.U,40.5149,210.0,2026-02-20,0.18,0.19,0.19,CALL
NVDAC202618500.U,47.2264,185.0,2026-03-20,8.1,8.15,8.25,CALL
NVDAO202619000.U,46.3426,190.0,2026-03-20,19.85,20.0,19.64,PUT 
NVDAO202618500.U,46.6171,185.0,2026-03-20,16.6,16.7,16.62,PUT 
NVDAO202618000.U,47.7253,180.0,2026-03-20,13.65,13.75,14.05,PUT 
NVDAO202617000.U,49.4533,170.0,2026-03-20,8.95,9.0,8.85,PUT 
NVDAN202618250.U,41.9569,182.5,2026-02-20,10.15,10.2,10.1,PUT 
NVDAB202619250.U,39.7243,192.5,2026-02-20,1.14,1.16,1.19,CALL
NVDAN202618750.U,40.2899,187.5,2026-02-20,13.6,13.75,14.95,PUT 
NVDAN202619500.U,39.0222,195.0,2026-02-20,19.9,20.05,19.75,PUT 
NVDAC202618000.U,48.2732,180.0,2026-03-20,10.2,10.25,10.3,CALL
NVDAB202617750.U,44.3384,177.5,2026-02-20,5.7,5.8,5.77,CALL
NVDAO202617500.U,48.2773,175.0,2026-03-20,11.15,11.25,11.15,PUT 
NVDAN062618250.U,48.256,182.5,2026-02-06,7.45,7.55,7.38,PUT 
NVDAB202617250.U,46.3983,172.5,2026-02-20,8.5,8.6,8.67,CALL
NVDAN202619250.U,39.3006,192.5,2026-02-20,17.7,17.85,18.46,PUT 
NVDAN202617250.U,46.0184,172.5,2026-02-20,5.1,5.15,5.05,PUT 
NVDAN062617250.U,56.7008,172.5,2026-02-06,1.86,1.88,1.87,PUT 
NVDAN062617750.U,52.6508,177.5,2026-02-06,3.95,4.05,4.0,PUT 
NVDAC202617500.U,48.7698,175.0,2026-03-20,12.65,12.7,12.76,CALL
