expiry_str,expiry_date,strike,type,mark_iv,mark_price,underlying_price,open_interest,bid_price,ask_price,best_bid_price,best_ask_price,volume,instrument_name
10DEC25,2025-12-10,84000.0,C,60.9,0.06892621,90167.1710834714,0.0,0.0535,0.085,,,0.0,BTC-10DEC25-84000-C
10DEC25,2025-12-10,84000.0,P,60.9,0.00052913,90167.1710834714,70.6,0.0004,0.0005,,,55.2,BTC-10DEC25-84000-P
10DEC25,2025-12-10,85000.0,C,58.52,0.05822378,90167.1710834714,0.0,0.056,0.06,,,0.0,BTC-10DEC25-85000-C
10DEC25,2025-12-10,85000.0,P,58.52,0.00091721,90160.74430621344,47.6,0.0008,0.001,,,53.1,BTC-10DEC25-85000-P
10DEC25,2025-12-10,86000.0,C,55.61,0.04773234,90167.1710834714,0.0,0.0455,0.0485,,,0.0,BTC-10DEC25-86000-C
10DEC25,2025-12-10,86000.0,P,55.61,0.00151628,90160.74430621344,68.2,0.0013,0.0016,,,62.5,BTC-10DEC25-86000-P
10DEC25,2025-12-10,87000.0,C,52.92,0.03765582,90167.1710834714,20.0,0.036,0.0385,,,0.0,BTC-10DEC25-87000-C
10DEC25,2025-12-10,87000.0,P,52.92,0.00253028,90167.1710834714,99.1,0.0022,0.0027,,,20.6,BTC-10DEC25-87000-P
10DEC25,2025-12-10,88000.0,C,50.26,0.02820816,90167.1710834714,0.1,0.0265,0.029,,,0.0,BTC-10DEC25-88000-C
10DEC25,2025-12-10,88000.0,P,50.26,0.00417312,90167.1710834714,74.8,0.0039,0.0043,,,68.4,BTC-10DEC25-88000-P
10DEC25,2025-12-10,89000.0,C,48.17,0.01982714,90167.1710834714,13.6,0.019,0.0205,,,10.2,BTC-10DEC25-89000-C
10DEC25,2025-12-10,89000.0,P,48.17,0.00688262,90167.1710834714,21.3,0.0065,0.007,,,14.9,BTC-10DEC25-89000-P
10DEC25,2025-12-10,90000.0,C,46.9,0.01297758,90167.41294404729,35.3,0.0125,0.0135,,,14.2,BTC-10DEC25-90000-C
10DEC25,2025-12-10,90000.0,P,46.9,0.01112357,90167.1710834714,33.1,0.0105,0.0115,,,39.5,BTC-10DEC25-90000-P
10DEC25,2025-12-10,91000.0,C,46.06,0.00782694,90167.1710834714,70.6,0.0075,0.008,,,53.3,BTC-10DEC25-91000-C
10DEC25,2025-12-10,91000.0,P,46.06,0.01706344,90167.1710834714,36.8,0.0165,0.018,,,39.7,BTC-10DEC25-91000-P
