expiry_str,expiry_date,strike,type,mark_iv,mark_price,underlying_price,open_interest,bid_price,ask_price,best_bid_price,best_ask_price,volume,instrument_name
10DEC25,2025-12-10,2700.0,C,103.93,0.133934,3116.1762272484975,0.0,,,,,0.0,ETH-10DEC25-2700-C
10DEC25,2025-12-10,2700.0,P,103.93,0.000356,3116.320529611898,231.0,0.0003,0.0004,,,138.0,ETH-10DEC25-2700-P
10DEC25,2025-12-10,2800.0,C,90.71,0.102214,3116.1762272484975,0.0,,0.1335,,,0.0,ETH-10DEC25-2800-C
10DEC25,2025-12-10,2800.0,P,90.71,0.000725,3116.1762272484975,250.0,0.0006,0.0009,,,23.0,ETH-10DEC25-2800-P
10DEC25,2025-12-10,2850.0,C,84.34,0.086525,3116.1762272484975,0.0,0.06,0.0985,,,0.0,ETH-10DEC25-2850-C
10DEC25,2025-12-10,2850.0,P,84.34,0.001081,3116.1762272484975,37.0,0.0009,0.0012,,,25.0,ETH-10DEC25-2850-P
10DEC25,2025-12-10,2900.0,C,79.02,0.07114,3116.1762272484975,0.0,0.0565,0.0725,,,0.0,ETH-10DEC25-2900-C
10DEC25,2025-12-10,2900.0,P,79.02,0.001741,3116.1762272484975,231.0,0.0015,0.002,,,191.0,ETH-10DEC25-2900-P
10DEC25,2025-12-10,2950.0,C,74.35,0.056267,3116.1762272484975,30.0,0.0505,0.0575,,,0.0,ETH-10DEC25-2950-C
10DEC25,2025-12-10,2950.0,P,74.35,0.002913,3116.1762272484975,172.0,0.0027,0.0032,,,154.0,ETH-10DEC25-2950-P
10DEC25,2025-12-10,2975.0,C,72.21,0.049124,3116.1762272484975,0.0,0.0465,0.0505,,,0.0,ETH-10DEC25-2975-C
10DEC25,2025-12-10,2975.0,P,72.21,0.003792,3116.819132609263,93.0,0.0035,0.0041,,,50.0,ETH-10DEC25-2975-P
10DEC25,2025-12-10,3000.0,C,70.77,0.042355,3116.1762272484975,0.0,0.0405,0.0435,,,0.0,ETH-10DEC25-3000-C
10DEC25,2025-12-10,3000.0,P,70.77,0.005046,3116.1762272484975,351.0,0.0047,0.0055,,,329.0,ETH-10DEC25-3000-P
10DEC25,2025-12-10,3025.0,C,68.59,0.035782,3116.1762272484975,1.0,0.034,0.037,,,2.0,ETH-10DEC25-3025-C
10DEC25,2025-12-10,3025.0,P,68.59,0.006495,3116.7791344515113,131.0,0.006,0.007,,,82.0,ETH-10DEC25-3025-P
10DEC25,2025-12-10,3050.0,C,67.26,0.029778,3116.1762272484975,216.0,0.029,0.0305,,,181.0,ETH-10DEC25-3050-C
10DEC25,2025-12-10,3050.0,P,67.26,0.008513,3116.1762272484975,111.0,0.008,0.009,,,17.0,ETH-10DEC25-3050-P
10DEC25,2025-12-10,3075.0,C,66.17,0.024313,3116.320529611898,72.0,0.0235,0.025,,,90.0,ETH-10DEC25-3075-C
10DEC25,2025-12-10,3075.0,P,66.17,0.011071,3116.1762272484975,138.0,0.0105,0.0115,,,151.0,ETH-10DEC25-3075-P
10DEC25,2025-12-10,3100.0,C,65.33,0.019464,3116.3805219421783,607.0,0.019,0.02,,,140.0,ETH-10DEC25-3100-C
10DEC25,2025-12-10,3100.0,P,65.33,0.014244,3116.1762272484975,774.0,0.0135,0.015,,,303.0,ETH-10DEC25-3100-P
10DEC25,2025-12-10,3125.0,C,64.72,0.015272,3116.1762272484975,95.0,0.0145,0.0155,,,96.0,ETH-10DEC25-3125-C
10DEC25,2025-12-10,3125.0,P,64.72,0.018074,3116.7791335303837,314.0,0.0175,0.0185,,,342.0,ETH-10DEC25-3125-P
10DEC25,2025-12-10,3150.0,C,64.27,0.011733,3116.1762272484975,525.0,0.011,0.012,,,528.0,ETH-10DEC25-3150-C
10DEC25,2025-12-10,3150.0,P,64.27,0.022558,3116.7791335303837,65.0,0.022,0.023,,,65.0,ETH-10DEC25-3150-P
10DEC25,2025-12-10,3175.0,C,64.48,0.008945,3116.7791335303837,356.0,0.0085,0.0095,,,368.0,ETH-10DEC25-3175-C
10DEC25,2025-12-10,3175.0,P,64.48,0.027793,3116.1762272484975,13.0,0.0265,0.029,,,13.0,ETH-10DEC25-3175-P
10DEC25,2025-12-10,3200.0,C,64.63,0.006682,3116.1762272484975,442.0,0.006,0.007,,,400.0,ETH-10DEC25-3200-C
10DEC25,2025-12-10,3200.0,P,64.63,0.033552,3116.1762272484975,18.0,0.032,0.0375,,,18.0,ETH-10DEC25-3200-P
10DEC25,2025-12-10,3250.0,C,65.26,0.003568,3116.320529611898,88.0,0.0033,0.0038,,,70.0,ETH-10DEC25-3250-C
10DEC25,2025-12-10,3250.0,P,65.26,0.046482,3116.1762272484975,0.0,0.039,0.055,,,0.0,ETH-10DEC25-3250-P
10DEC25,2025-12-10,3300.0,C,67.02,0.001901,3116.7791335303837,1621.0,0.0017,0.0021,,,1228.0,ETH-10DEC25-3300-C
10DEC25,2025-12-10,3300.0,P,67.02,0.06086,3116.1762272484975,0.0,0.04,0.1085,,,0.0,ETH-10DEC25-3300-P
10DEC25,2025-12-10,3400.0,C,71.9,0.000557,3116.1762272484975,106.0,0.0004,0.0006,,,19.0,ETH-10DEC25-3400-C
10DEC25,2025-12-10,3400.0,P,71.9,0.091607,3116.1762272484975,0.0,0.0001,,,,0.0,ETH-10DEC25-3400-P
11DEC25,2025-12-11,2600.0,C,111.09,0.166412,3116.028113624249,0.0,,,,,0.0,ETH-11DEC25-2600-C
11DEC25,2025-12-11,2600.0,P,111.09,0.000784,3116.028113624249,4.0,0.0006,0.0009,,,4.0,ETH-11DEC25-2600-P
11DEC25,2025-12-11,2700.0,C,101.6,0.134968,3116.028113624249,0.0,0.0945,0.1695,,,0.0,ETH-11DEC25-2700-C
11DEC25,2025-12-11,2700.0,P,101.6,0.001431,3116.028113624249,385.0,0.0013,0.0016,,,119.0,ETH-11DEC25-2700-P
11DEC25,2025-12-11,2800.0,C,92.92,0.104196,3116.028113624249,0.0,0.079,0.1255,,,0.0,ETH-11DEC25-2800-C
