expiry_str,expiry_date,strike,type,mark_iv,mark_price,underlying_price,open_interest,bid_price,ask_price,best_bid_price,best_ask_price,volume,instrument_name,contractSymbol,underlying_ticker
2025-12-16,2025-12-16,2800.0,P,3.2343769140624996,0.05,6816.509765625,102.0,0.0,0.05,0.0,0.05,1.0,^SPX-2025-12-16-2800.0-P,SPXW251216P02800000,^SPX
2025-12-16,2025-12-16,3000.0,P,2.9843775390625,0.05,6816.509765625,10.0,0.0,0.05,0.0,0.05,1.0,^SPX-2025-12-16-3000.0-P,SPXW251216P03000000,^SPX
2025-12-16,2025-12-16,3200.0,P,2.7656280859375,0.25,6816.509765625,2.0,0.0,0.05,0.0,0.05,1.0,^SPX-2025-12-16-3200.0-P,SPXW251216P03200000,^SPX
2025-12-16,2025-12-16,3400.0,P,2.5468786328124997,0.05,6816.509765625,201.0,0.0,0.05,0.0,0.05,50.0,^SPX-2025-12-16-3400.0-P,SPXW251216P03400000,^SPX
2025-12-16,2025-12-16,3600.0,P,2.3437541406249993,0.05,6816.509765625,17.0,0.0,0.05,0.0,0.05,10.0,^SPX-2025-12-16-3600.0-P,SPXW251216P03600000,^SPX
2025-12-16,2025-12-16,3800.0,P,2.156254609375,0.05,6816.509765625,4.0,0.0,0.05,0.0,0.05,1.0,^SPX-2025-12-16-3800.0-P,SPXW251216P03800000,^SPX
2025-12-16,2025-12-16,4000.0,P,1.9765626171875001,0.05,6816.509765625,122.0,0.0,0.05,0.0,0.05,142.0,^SPX-2025-12-16-4000.0-P,SPXW251216P04000000,^SPX
2025-12-16,2025-12-16,4200.0,P,1.8046884765624998,0.05,6816.509765625,249.0,0.0,0.05,0.0,0.05,27.0,^SPX-2025-12-16-4200.0-P,SPXW251216P04200000,^SPX
2025-12-16,2025-12-16,4400.0,C,2.514163870849609,2415.95,6816.509765625,2.0,2407.5,2431.9,2407.5,2431.9,1.0,^SPX-2025-12-16-4400.0-C,SPXW251216C04400000,^SPX
2025-12-16,2025-12-16,4400.0,P,1.640626796875,0.04,6816.509765625,2182.0,0.0,0.05,0.0,0.05,1.0,^SPX-2025-12-16-4400.0-P,SPXW251216P04400000,^SPX
2025-12-16,2025-12-16,4600.0,C,2.334354750061035,2219.0,6816.509765625,1.0,2213.1,2227.5,2213.1,2227.5,6.0,^SPX-2025-12-16-4600.0-C,SPXW251216C04600000,^SPX
2025-12-16,2025-12-16,4600.0,P,1.4765651171875,0.1,6816.509765625,1145.0,0.0,0.05,0.0,0.05,1.0,^SPX-2025-12-16-4600.0-P,SPXW251216P04600000,^SPX
2025-12-16,2025-12-16,4800.0,C,1.991699260253906,2099.07,6816.509765625,1.0,2006.4,2031.5,2006.4,2031.5,,^SPX-2025-12-16-4800.0-C,SPXW251216C04800000,^SPX
2025-12-16,2025-12-16,4800.0,P,1.3281283593749997,0.05,6816.509765625,199.0,0.0,0.05,0.0,0.05,20.0,^SPX-2025-12-16-4800.0-P,SPXW251216P04800000,^SPX
2025-12-16,2025-12-16,5000.0,P,1.1796916015624999,0.05,6816.509765625,422.0,0.0,0.05,0.0,0.05,99.0,^SPX-2025-12-16-5000.0-P,SPXW251216P05000000,^SPX
2025-12-16,2025-12-16,5200.0,C,1.5582297479248044,1460.0,6816.509765625,10.0,1606.5,1630.9,1606.5,1630.9,,^SPX-2025-12-16-5200.0-C,SPXW251216C05200000,^SPX
2025-12-16,2025-12-16,5200.0,P,1.0390673046875003,0.05,6816.509765625,425.0,0.0,0.05,0.0,0.05,60.0,^SPX-2025-12-16-5200.0-P,SPXW251216P05200000,^SPX
2025-12-16,2025-12-16,5300.0,P,0.9687503125,0.05,6816.509765625,288.0,0.0,0.05,0.0,0.05,10.0,^SPX-2025-12-16-5300.0-P,SPXW251216P05300000,^SPX
2025-12-16,2025-12-16,5400.0,C,1.471560259399414,1417.0,6816.509765625,5.0,1413.2,1427.5,1413.2,1427.5,2.0,^SPX-2025-12-16-5400.0-C,SPXW251216C05400000,^SPX
2025-12-16,2025-12-16,5400.0,P,0.9023447265625,0.05,6816.509765625,1475.0,0.0,0.05,0.0,0.05,316.0,^SPX-2025-12-16-5400.0-P,SPXW251216P05400000,^SPX
2025-12-16,2025-12-16,5500.0,P,0.8359391406249999,0.05,6816.509765625,1441.0,0.0,0.05,0.0,0.05,572.0,^SPX-2025-12-16-5500.0-P,SPXW251216P05500000,^SPX
2025-12-16,2025-12-16,5600.0,P,0.7695335546875001,0.05,6816.509765625,956.0,0.0,0.05,0.0,0.05,609.0,^SPX-2025-12-16-5600.0-P,SPXW251216P05600000,^SPX
2025-12-16,2025-12-16,5625.0,P,0.7539087109375,0.1,6816.509765625,101.0,0.0,0.05,0.0,0.05,5.0,^SPX-2025-12-16-5625.0-P,SPXW251216P05625000,^SPX
2025-12-16,2025-12-16,5650.0,P,0.7382838671874999,0.05,6816.509765625,74.0,0.0,0.05,0.0,0.05,35.0,^SPX-2025-12-16-5650.0-P,SPXW251216P05650000,^SPX
2025-12-16,2025-12-16,5675.0,P,0.7187528125,0.05,6816.509765625,96.0,0.0,0.05,0.0,0.05,12.0,^SPX-2025-12-16-5675.0-P,SPXW251216P05675000,^SPX
2025-12-16,2025-12-16,5700.0,C,1.127811978149414,1153.32,6816.509765625,2.0,1106.8,1132.2,1106.8,1132.2,,^SPX-2025-12-16-5700.0-C,SPXW251216C05700000,^SPX
2025-12-16,2025-12-16,5700.0,P,0.70312796875,0.03,6816.509765625,402.0,0.0,0.05,0.0,0.05,10.0,^SPX-2025-12-16-5700.0-P,SPXW251216P05700000,^SPX
2025-12-16,2025-12-16,5725.0,P,0.6875031250000001,0.05,6816.509765625,173.0,0.0,0.05,0.0,0.05,31.0,^SPX-2025-12-16-5725.0-P,SPXW251216P05725000,^SPX
2025-12-16,2025-12-16,5750.0,P,0.6718782812500002,0.07,6816.509765625,111.0,0.0,0.05,0.0,0.05,28.0,^SPX-2025-12-16-5750.0-P,SPXW251216P05750000,^SPX
2025-12-16,2025-12-16,5775.0,P,0.6562534375000001,0.05,6816.509765625,57.0,0.0,0.05,0.0,0.05,15.0,^SPX-2025-12-16-5775.0-P,SPXW251216P05775000,^SPX
2025-12-16,2025-12-16,5800.0,P,0.64062859375,0.05,6816.509765625,373.0,0.0,0.05,0.0,0.05,42.0,^SPX-2025-12-16-5800.0-P,SPXW251216P05800000,^SPX
2025-12-16,2025-12-16,5825.0,P,0.6562534375000001,0.05,6816.509765625,571.0,0.0,0.1,0.0,0.1,74.0,^SPX-2025-12-16-5825.0-P,SPXW251216P05825000,^SPX
2025-12-16,2025-12-16,5850.0,P,0.6093789062500001,0.03,6816.509765625,296.0,0.0,0.05,0.0,0.05,457.0,^SPX-2025-12-16-5850.0-P,SPXW251216P05850000,^SPX
2025-12-16,2025-12-16,5875.0,P,0.62305064453125,0.05,6816.509765625,187.0,0.0,0.1,0.0,0.1,976.0,^SPX-2025-12-16-5875.0-P,SPXW251216P05875000,^SPX
2025-12-16,2025-12-16,5900.0,C,0.948242705078125,822.53,6816.509765625,1.0,907.8,931.7,907.8,931.7,2.0,^SPX-2025-12-16-5900.0-C,SPXW251216C05900000,^SPX
2025-12-16,2025-12-16,5900.0,P,0.2500075,0.05,6816.509765625,1035.0,0.0,0.0,0.0,0.0,1900.0,^SPX-2025-12-16-5900.0-P,SPXW251216P05900000,^SPX
2025-12-16,2025-12-16,5925.0,P,0.5898478515625001,0.05,6816.509765625,666.0,0.0,0.1,0.0,0.1,474.0,^SPX-2025-12-16-5925.0-P,SPXW251216P05925000,^SPX
2025-12-16,2025-12-16,5950.0,P,0.5742230078125,0.05,6816.509765625,602.0,0.0,0.1,0.0,0.1,705.0,^SPX-2025-12-16-5950.0-P,SPXW251216P05950000,^SPX
2025-12-16,2025-12-16,5975.0,P,0.5566450585937501,0.05,6816.509765625,675.0,0.0,0.1,0.0,0.1,551.0,^SPX-2025-12-16-5975.0-P,SPXW251216P05975000,^SPX
2025-12-16,2025-12-16,6000.0,C,0.8266618896484373,820.9,6816.509765625,5.0,806.6,831.7,806.6,831.7,1.0,^SPX-2025-12-16-6000.0-C,SPXW251216C06000000,^SPX
2025-12-16,2025-12-16,6000.0,P,0.5410202148437502,0.03,6816.509765625,720.0,0.0,0.1,0.0,0.1,312.0,^SPX-2025-12-16-6000.0-P,SPXW251216P06000000,^SPX
2025-12-16,2025-12-16,6025.0,P,0.52539537109375,0.05,6816.509765625,98.0,0.0,0.1,0.0,0.1,148.0,^SPX-2025-12-16-6025.0-P,SPXW251216P06025000,^SPX
2025-12-16,2025-12-16,6050.0,P,0.507817421875,0.05,6816.509765625,168.0,0.0,0.05,0.0,0.05,296.0,^SPX-2025-12-16-6050.0-P,SPXW251216P06050000,^SPX
2025-12-16,2025-12-16,6075.0,P,0.5214891601562499,0.05,6816.509765625,69.0,0.0,0.1,0.0,0.1,198.0,^SPX-2025-12-16-6075.0-P,SPXW251216P06075000,^SPX
2025-12-16,2025-12-16,6100.0,C,0.7229031616210937,737.52,6816.509765625,0.0,706.7,731.1,706.7,731.1,2.0,^SPX-2025-12-16-6100.0-C,SPXW251216C06100000,^SPX
2025-12-16,2025-12-16,6100.0,P,0.5039112109375,0.03,6816.509765625,357.0,0.0,0.1,0.0,0.1,191.0,^SPX-2025-12-16-6100.0-P,SPXW251216P06100000,^SPX
2025-12-16,2025-12-16,6125.0,P,0.48730981445312505,0.05,6816.509765625,639.0,0.0,0.1,0.0,0.1,172.0,^SPX-2025-12-16-6125.0-P,SPXW251216P06125000,^SPX
